1.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,39.42,1.71,0.165,0.0,400.0,1.0
2.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,18.5,2.0,1.5,2.0,120.0,301.0
1.0,13.0,8.0,2.0,1.0,1.0,1.0,0.0,43.0,0.29,1.75,8.0,100.0,376.0
2.0,6.0,4.0,2.0,0.0,1.0,0.0,0.0,18.83,9.54,0.085,0.0,100.0,1.0
1.0,14.0,8.0,2.0,0.0,1.0,1.0,0.0,22.42,11.25,0.75,4.0,0.0,322.0
2.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,36.67,2.0,0.25,0.0,221.0,1.0
1.0,9.0,4.0,2.0,1.0,1.0,0.0,1.0,23.33,11.625,0.835,0.0,160.0,301.0
2.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,16.25,0.835,0.085,0.0,200.0,1.0
1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,24.33,2.5,4.5,0.0,200.0,457.0
2.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,20.0,7.0,0.5,0.0,0.0,1.0
2.0,11.0,4.0,2.0,1.0,0.0,0.0,0.0,18.83,0.0,0.665,0.0,160.0,2.0
2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,18.25,0.165,0.25,0.0,280.0,1.0
1.0,8.0,4.0,2.0,1.0,0.0,1.0,0.0,23.75,0.415,0.04,2.0,128.0,7.0
2.0,13.0,8.0,2.0,1.0,1.0,0.0,1.0,34.25,3.0,7.415,0.0,0.0,1.0
2.0,9.0,4.0,2.0,1.0,0.0,1.0,0.0,35.75,2.415,0.125,2.0,220.0,2.0
2.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,17.08,3.29,0.335,0.0,140.0,3.0
2.0,8.0,4.0,2.0,1.0,0.0,1.0,0.0,23.25,12.625,0.125,2.0,0.0,5553.0
2.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,34.67,1.08,1.165,0.0,28.0,1.0
2.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,42.75,4.085,0.04,0.0,108.0,101.0
2.0,8.0,4.0,2.0,1.0,1.0,1.0,0.0,20.42,7.0,1.625,3.0,200.0,1392.0
2.0,6.0,4.0,2.0,1.0,1.0,0.0,1.0,34.08,6.5,0.125,0.0,443.0,1.0
1.0,11.0,8.0,2.0,1.0,0.0,1.0,1.0,27.58,3.25,5.085,2.0,369.0,2.0
